"Date","category","n","perc","Stratification","Group","Organisation"
2025-07-29,"Overweight",7,18.4210526315789,"agegroup","30-44 years","Overall"
2025-07-29,"Overweight",8,20,"agegroup","Over 45 years","Overall"
2025-07-29,"Overweight",11,40.7407407407407,"agegroup","Under 30 years","Overall"
2025-07-29,"Underweight",12,31.578947368421,"agegroup","30-44 years","Overall"
2025-07-29,"Underweight",6,15,"agegroup","Over 45 years","Overall"
2025-07-29,"Underweight",3,11.1111111111111,"agegroup","Under 30 years","Overall"
2025-07-30,"Normal",21,52.5,"agegroup","30-44 years","Overall"
2025-07-30,"Normal",25,62.5,"agegroup","Over 45 years","Overall"
2025-07-30,"Normal",13,52,"agegroup","Under 30 years","Overall"
2025-07-30,"Obese",1,2.5,"agegroup","Over 45 years","Overall"
2025-07-30,"Obese",1,4,"agegroup","Under 30 years","Overall"
2025-07-30,"Overweight",8,20,"agegroup","30-44 years","Overall"
2025-07-30,"Overweight",9,22.5,"agegroup","Over 45 years","Overall"
2025-07-30,"Overweight",8,32,"agegroup","Under 30 years","Overall"
2025-07-30,"Underweight",11,27.5,"agegroup","30-44 years","Overall"
2025-07-30,"Underweight",5,12.5,"agegroup","Over 45 years","Overall"
2025-07-30,"Underweight",3,12,"agegroup","Under 30 years","Overall"
2025-07-31,"Normal",24,53.3333333333333,"agegroup","30-44 years","Overall"
2025-07-31,"Normal",25,50,"agegroup","Over 45 years","Overall"
2025-07-31,"Normal",16,45.7142857142857,"agegroup","Under 30 years","Overall"
2025-07-31,"Obese",2,4,"agegroup","Over 45 years","Overall"
2025-07-31,"Obese",3,8.57142857142857,"agegroup","Under 30 years","Overall"
2025-07-31,"Overweight",11,24.4444444444444,"agegroup","30-44 years","Overall"
2025-07-31,"Overweight",14,28,"agegroup","Over 45 years","Overall"
2025-07-31,"Overweight",12,34.2857142857143,"agegroup","Under 30 years","Overall"
2025-07-31,"Underweight",10,22.2222222222222,"agegroup","30-44 years","Overall"
2025-07-31,"Underweight",9,18,"agegroup","Over 45 years","Overall"
2025-07-31,"Underweight",4,11.4285714285714,"agegroup","Under 30 years","Overall"
2025-08-01,"Normal",24,54.5454545454545,"agegroup","30-44 years","Overall"
2025-08-01,"Normal",25,49.0196078431373,"agegroup","Over 45 years","Overall"
2025-08-01,"Normal",14,46.6666666666667,"agegroup","Under 30 years","Overall"
2025-08-01,"Obese",2,3.92156862745098,"agegroup","Over 45 years","Overall"
2025-08-01,"Obese",2,6.66666666666667,"agegroup","Under 30 years","Overall"
2025-08-01,"Overweight",9,20.4545454545455,"agegroup","30-44 years","Overall"
2025-08-01,"Overweight",16,31.3725490196078,"agegroup","Over 45 years","Overall"
2025-08-01,"Overweight",11,36.6666666666667,"agegroup","Under 30 years","Overall"
2025-08-01,"Underweight",11,25,"agegroup","30-44 years","Overall"
2025-08-01,"Underweight",8,15.6862745098039,"agegroup","Over 45 years","Overall"
2025-08-01,"Underweight",3,10,"agegroup","Under 30 years","Overall"
2025-08-02,"Normal",29,59.1836734693878,"agegroup","30-44 years","Overall"
2025-08-02,"Normal",30,61.2244897959184,"agegroup","Over 45 years","Overall"
2025-08-02,"Normal",15,45.4545454545455,"agegroup","Under 30 years","Overall"
2025-08-02,"Obese",2,4.08163265306122,"agegroup","Over 45 years","Overall"
2025-08-02,"Obese",4,12.1212121212121,"agegroup","Under 30 years","Overall"
2025-08-02,"Overweight",10,20.4081632653061,"agegroup","30-44 years","Overall"
